,Kategorie,Koordinaten,Name,Bildlizenz,Bild,Website,Adresse,Unesco-Seite,Latitude,Longitude,Karte
10,32,"[47.69913, 9.06175]",Klosterinsel Reichenau,"CC-BY-ND 2.0, AugustusTours, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/9621395992_Klosterinser_AugustusTours_Attribution-NoDerivs%202.0%20Generic%20%28CC%20BY-ND%202.0%29.jpg?itok=uLprZ3cI,https://www.reichenau-tourismus.de/,"Münsterplatz, Ergeten, Mittelzell, Reichenau, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Baden-Württemberg, 78479, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/klosterinsel-reichenau,47.69913,9.06175,"Klosterinsel Reichenau,Insel Reichenau, 78479 Reichenau,https://www.reichenau-tourismus.de/"
11,32,"[51.84161, 12.41961]",Gartenreich Dessau-Wörlitz ,"CC-BY 2.0, ghentooo, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/3592721702_w%C3%B6rlitzer%20park%202_c_ghentooo_Attribution%202.0%20Generic%20%28CC%20BY%202.0%29.jpg?itok=RlWut7AB,http://www.gartenreich.com/,"Siedlung Bergstücken, Wörlitz, Oranienbaum-Wörlitz, Wittenberg, Sachsen-Anhalt, 06785, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/gartenreich-dessau-woerlitz,51.84161,12.41961,"Gartenreich Dessau-Wörlitz ,Gartenreich Dessau Wörlitz, Alter Wall 99, 06786 Oranienbaum-Wörlitz,http://www.gartenreich.com/"
12,32,"[49.00107, 8.81245]",Klosteranlage Maulbronn,"CC-BY-SA 3.0, Elke Wetzig, Commons Wiki ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Kloster_Maulbronn_c_Elke%20Wetzig_CC%20BY-SA%203.0.jpg?itok=dRaXRJZ_,https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/klosteranlage-maulbronn,"Kloster Maulbronn, Klosterstraße, Maulbronn (Stadt), Maulbronn, Verwaltungsgemeinschaft Maulbronn, Enzkreis, Baden-Württemberg, 75433, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/klosteranlage-maulbronn,49.00107,8.81245,"Klosteranlage Maulbronn,Kloster Maulbronn, Klosterstraße, Maulbronn (Stadt), Maulbronn, Verwaltungsgemeinschaft Maulbronn, Enzkreis, Baden-Württemberg, 75433, Deutschland,https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/klosteranlage-maulbronn"
13,32,"[49.02056, 12.09917]",Altstadt von Regensburg mit Stadtamhof,"CC-BY-SA 3.0, Karsten Doerre, Commons Wiki ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Regensburg_c_Karsten%20Doerre_CC%20BY-SA%203.0.jpg?itok=lN0Dw9xe,https://www.regensburg.de/welterbe,"17a, Unter den Schwibbögen, Altstadt von Regensburg mit Stadtamhof, Stadtamhof, Regensburg, Bayern, 93047, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/altstadt-von-regensburg-mit-stadtamhof,49.02056,12.09917,"Altstadt von Regensburg mit Stadtamhof,17a, Unter den Schwibbögen, Altstadt von Regensburg mit Stadtamhof, Stadtamhof, Regensburg, Bayern, 93047, Deutschland,https://www.regensburg.de/welterbe"
14,32,"[49.65391, 8.56896]",Kloster Lorsch,"CC-BY-SA 4.0, Axel Polsfuss, Commons Wiki ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Kloster%20Lorsch_c_Axel%20Polsfuss_CC%20BY-SA%204.0.jpg?itok=QmU0lUpI,http://www.kloster-lorsch.de/klosterlorsch/,"Königshalle / Torhalle, 32, Nibelungenstraße, Viehweide, Lorsch, Kreis Bergstraße, Hessen, 64653, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/kloster-lorsch,49.65391,8.56896,"Kloster Lorsch,Königshalle / Torhalle, 32, Nibelungenstraße, Viehweide, Lorsch, Kreis Bergstraße, Hessen, 64653, Deutschland,http://www.kloster-lorsch.de/klosterlorsch/"
15,32,"[51.49119, 7.04593]",Industriekomplex Zeche Zollverein in Essen,"CC-BY, André P. Meyer-Vitali, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Zeche%20Zollverein_c_Andr%C3%A9%20P.%20Meyer-Vitali_cc.jpg?itok=2gGomScr,https://www.zollverein.de/,"openOffice, Bullmannaue, Stoppenberg, Stadtbezirk VI, Essen, Nordrhein-Westfalen, 45327, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/industriekomplex-zeche-zollverein-essen,51.49119,7.04593,"Industriekomplex Zeche Zollverein in Essen,UNESCO-Welterbe Zollverein, Gelsenkirchener Str. 181, 45309 Essen,https://www.zollverein.de/"
16,32,"[51.98335, 9.8109]",Fagus-Werk in Alfeld,"CC-BY-SA 2.0, Carsten Janssen, Commons Wiki ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Fagus_Gropius_Hauptgebaeude_200705_wiki_front_Carsten%20Janssen_CC%20BY-SA%202.0.jpg?itok=Ud1Y7rtH,https://www.fagus-werk.com/de/,"19, Hannoversche Straße, Brüninghausen, Alfeld (Leine), Landkreis Hildesheim, Niedersachsen, 31061, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/fagus-werk-alfeld,51.98335,9.8109,"Fagus-Werk in Alfeld,Bad Wilhelmshöhe, Kassel,https://www.fagus-werk.com/de/"
17,32,"[50.07987, 8.98247]",Grenzen des Römischen Reiches: Obergermanisch-Raetischer Limes,"CC-BY-SA 2.0, Polybert49, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2018-01/30%20Limes_1_Roemerkastell%20Saalburg_CC-BY-SA%202.0%20Polybert49-flickr.jpg?itok=Y7F1uaI-,http://www.deutsche-limeskommission.de/,"13, Oberhaagstraße, Großkrotzenburg, Main-Kinzig-Kreis, Hessen, 63538, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/grenzen-des-roemischen-reiches,50.07987,8.98247,"Grenzen des Römischen Reiches: Obergermanisch-Raetischer Limes,13, Oberhaagstraße, Großkrotzenburg, Main-Kinzig-Kreis, Hessen, 63538, Deutschland,http://www.deutsche-limeskommission.de/"
18,32,"[49.79278, 9.93889]",Residenz Würzburg mit Hofgarten und Residenzplatz,"CC-BY-NC 2.0, Bby, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-11/219885062_Hofgarten_Bby_Attribution-NonCommercial%202.0%20Generic%20%28CC%20BY-NC%202.0%29.jpg?itok=NvIrhY7-,http://www.residenz-wuerzburg.de/,"Residenz Würzburg, 2, Residenzplatz, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/residenz-wuerzburg-mit-hofgarten-und-residenzplatz,49.79278,9.93889,"Residenz Würzburg mit Hofgarten und Residenzplatz,Residenz Würzburg, 2, Residenzplatz, Würzburg Altstadt, Würzburg, Bayern, 97070, Deutschland,http://www.residenz-wuerzburg.de/"
19,32,"[47.68055, 10.90018]",Wallfahrtskirche „Die Wies“,"CC-BY-SA 2.0, michat, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/34707821102_%20Wieskirche%20_%20michat%20_Attribution-ShareAlike%202.0%20Generic%20%28CC%20BY-SA%202.0%29_1.jpg?itok=CwOBqdVK,http://wieskirche.de/,"Wieskirche, 14, Wies, Steingaden (VGem), Landkreis Weilheim-Schongau, Bayern, 86989, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/wallfahrtskirche-die-wies,47.68055,10.90018,"Wallfahrtskirche „Die Wies“,Wieskirche, 14, Wies, Steingaden (VGem), Landkreis Weilheim-Schongau, Bayern, 86989, Deutschland,http://wieskirche.de/"
20,32,"[50.8278, 6.90828]",Schlösser Augustusburg und Falkenlust in Brühl,"CC-BY-SA 3.0, Wandernder Weltreisender, Commons Wiki ",https://www.unesco.de/sites/default/files/styles/960w/public/2017-12/Augustusburg2_c_Wandernder%20Weltreisender_CC%20BY-SA%203.0_0.jpg?itok=y0naSgb9,http://www.schlossbruehl.de/Home,"Schloss Augustusburg, 6, Schloßstraße, Brühl-Nord, Vochem, Brühl, Rhein-Erft-Kreis, Nordrhein-Westfalen, 50321, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/schloesser-augustusburg-und-falkenlust-bruehl/,50.8278,6.90828,"Schlösser Augustusburg und Falkenlust in Brühl,Schloss Augustusburg, 6, Schloßstraße, Brühl-Nord, Vochem, Brühl, Rhein-Erft-Kreis, Nordrhein-Westfalen, 50321, Deutschland,http://www.schlossbruehl.de/Home"
